Project Name,Start Date,Present Date,Days Duration,Quoted Budget,Labor Cost,Material Cost,Machinery Cost
Highway Masterplan,2022-05-16,2024-03-11,665,3799850,905198,1826106,552284
Commercial Development,2021-03-03,2024-03-11,1104,906890,203312,297258,197738
Bridge Overhaul,2021-10-15,2024-03-11,878,2644744,856029,1183377,432220
Industrial Restoration,2020-10-07,2024-03-11,1251,2814138,454502,1045705,376639
Smart City Urban Planning,2020-05-27,2024-03-11,1384,3398536,818076,1207811,409535
Industrial Industrial Zone,2023-06-01,2024-03-11,284,357453,123415,128580,68602
Airport Restoration,2022-04-05,2024-03-11,706,365742,82765,167760,41994
Residential Restoration,2021-05-08,2024-03-11,1038,465768,138459,170920,105035
Railway Megaproject,2022-07-15,2024-03-11,605,3249475,933674,1138590,697456
Oil Refinery Upgrade,2022-02-18,2024-03-11,752,4089117,1144475,1657543,503909
Residential Upgrade,2021-05-14,2024-03-11,1032,3328102,500959,1162220,483232
Tunnel Green Initiative,2022-11-09,2024-03-11,488,2658344,473134,1081086,387179
Warehouse Upgrade,2020-12-29,2024-03-11,1168,4728349,979207,1557277,567126
Warehouse Expansion,2023-01-07,2024-03-11,429,2860080,431217,1060324,576491
Bridge Restoration,2021-11-16,2024-03-11,846,4987384,1732152,2044814,972459
Office Complex Renovation,2020-02-26,2024-03-11,1475,1654267,440195,705664,343894
Metro Roadwork,2021-04-05,2024-03-11,1071,1851024,381117,648545,337778
Hospital Green Initiative,2020-08-30,2024-03-11,1289,3461665,1116349,1392402,665888
Tunnel Masterplan,2020-10-04,2024-03-11,1254,3542016,1186075,1513384,553730
Hospital Green Initiative,2021-02-16,2024-03-11,1119,3805474,740361,1900284,824063
Water Treatment Urban Planning,2020-03-16,2024-03-11,1456,2307583,480507,944027,546992
Hydroelectric Dam Construction,2021-12-27,2024-03-11,805,763487,199825,259056,147372
Bridge Upgrade,2023-06-27,2024-03-11,258,680982,107327,336844,156199
Solar Farm Phase 1,2020-05-07,2024-03-11,1404,2443222,534654,963080,509210
Commercial Urban Planning,2020-01-06,2024-03-11,1526,665144,130608,280173,126052
Airport Modernization,2020-06-11,2024-03-11,1369,1519161,309762,661427,181373
Airport Renovation,2020-12-03,2024-03-11,1194,1072427,198046,333112,163536
Smart City Project,2021-09-13,2024-03-11,910,2526436,404997,771702,550087
Skyscraper Phase 1,2023-10-17,2024-03-11,146,1756314,569021,613689,426437
Power Plant Modernization,2021-01-28,2024-03-11,1138,1736119,384349,719729,196900
Tunnel Green Initiative,2022-08-01,2024-03-11,588,1078412,183364,400623,209212
Highway Revamp,2022-09-16,2024-03-11,542,2818687,858639,875580,588548
Oil Refinery Modernization,2020-08-18,2024-03-11,1301,2050281,632557,978501,385627
Solar Farm Engineering,2021-08-03,2024-03-11,951,3374932,715897,1454893,482531
Oil Refinery Engineering,2021-12-23,2024-03-11,809,3092033,557881,1171407,564728
Solar Farm Reconstruction,2020-08-20,2024-03-11,1299,756476,167579,312242,187494
Highway Infrastructure,2020-11-02,2024-03-11,1225,2711810,603957,944331,483214
Industrial Megaproject,2023-07-10,2024-03-11,245,580780,124740,228853,102542
Power Plant Masterplan,2020-03-18,2024-03-11,1454,2037543,673933,995753,450069
Industrial Overhaul,2020-05-13,2024-03-11,1398,3019216,924426,1253710,481981
Oil Refinery Roadwork,2022-05-17,2024-03-11,664,4642697,1186790,1911899,759074
Residential Megaproject,2020-11-06,2024-03-11,1221,3938212,1315104,1301380,578779
Airport Renovation,2022-11-19,2024-03-11,478,4206478,1009282,1355853,678718
Industrial Infrastructure,2023-03-03,2024-03-11,374,2756461,612993,1133080,435593
Solar Farm Modernization,2022-06-30,2024-03-11,620,723198,149698,289148,117088
Tunnel Overhaul,2024-01-08,2024-03-11,63,4834355,1063005,2393189,667451
Airport Engineering,2021-09-30,2024-03-11,893,4273515,815495,1865876,701746
Smart City Expansion,2023-03-19,2024-03-11,358,4671695,832819,1406099,727228
Tunnel Overhaul,2023-01-21,2024-03-11,415,526936,126877,257290,92813
Railway Project,2020-05-31,2024-03-11,1380,4506559,1447529,1538885,503105
Office Complex Engineering,2020-04-27,2024-03-11,1414,2232616,690984,737018,283438
Metro Reconstruction,2020-08-12,2024-03-11,1307,1738250,581108,844017,304490
Office Complex Upgrade,2021-10-06,2024-03-11,887,2246461,646802,1122963,393060
Highway Megaproject,2020-01-24,2024-03-11,1508,4956805,1072478,2122376,661722
Airport Industrial Zone,2021-08-21,2024-03-11,933,4903990,1590742,1573395,1214883
Industrial Megaproject,2021-08-17,2024-03-11,937,2449927,492310,1180065,367017
Highway Megaproject,2021-09-06,2024-03-11,917,716810,205675,264623,115591
Luxury Apartment Urban Planning,2020-11-26,2024-03-11,1201,1171400,352237,371010,190232
Power Plant Masterplan,2021-03-05,2024-03-11,1102,3698471,1189678,1291063,463327
Hydroelectric Dam Construction,2022-01-05,2024-03-11,796,341362,92705,170279,61454
Shopping Mall Modernization,2020-07-30,2024-03-11,1320,4906638,885320,1842112,751585
Office Complex Engineering,2022-02-25,2024-03-11,745,1117266,215966,417139,223312
Airport Renovation,2022-08-25,2024-03-11,564,3060697,906523,1009632,608387
Hospital Expansion,2023-02-19,2024-03-11,386,2366051,413306,969316,535443
Skyscraper Development,2021-09-14,2024-03-11,909,3576623,1203024,1691489,475299
Water Treatment Revamp,2023-09-19,2024-03-11,174,3510824,664118,1319267,381881
Highway Construction,2022-02-14,2024-03-11,756,3347624,1057577,1086701,402514
Water Treatment Construction,2022-05-13,2024-03-11,668,386071,77879,190689,89826
Skyscraper Phase 1,2020-09-20,2024-03-11,1268,2122368,413594,747263,319151
Skyscraper Urban Planning,2020-06-27,2024-03-11,1353,1663845,440717,717644,340557
Hospital Expansion,2020-04-10,2024-03-11,1431,3769708,718681,1815478,495572
Shopping Mall Renovation,2020-07-08,2024-03-11,1342,4288121,1426394,1794810,782900
Tunnel Engineering,2020-10-04,2024-03-11,1254,2621893,580846,1084268,519660
Shopping Mall Roadwork,2023-02-26,2024-03-11,379,4772881,1007241,1441042,1169688
Airport Expansion,2022-03-11,2024-03-11,731,3242475,501297,1193041,752106
Railway Modernization,2022-02-09,2024-03-11,761,417847,135201,130535,77715
Skyscraper Renovation,2021-03-23,2024-03-11,1084,1883316,464111,621141,197692
Solar Farm Reconstruction,2021-04-12,2024-03-11,1064,1774785,306289,562634,418961
Metro Engineering,2023-07-01,2024-03-11,254,3329228,638171,1457378,378447
Oil Refinery Phase 1,2020-09-02,2024-03-11,1286,4667800,1137937,2070065,1084790
Hospital Construction,2021-05-28,2024-03-11,1018,2395084,582830,789247,581428
Highway Upgrade,2022-01-29,2024-03-11,772,640829,214401,239212,117656
Warehouse Masterplan,2022-07-04,2024-03-11,616,1727870,292530,744195,411125
Hospital Project,2022-11-11,2024-03-11,486,3875968,1083836,1164613,816480
Water Treatment Green Initiative,2022-07-30,2024-03-11,590,4088260,1331338,1846862,548627
